date,nav
2005-10-13,9.509
2005-10-14,9.483
2005-10-17,9.503
2005-10-18,9.483
2005-10-19,9.467
2005-10-20,9.415
2005-10-21,9.406
2005-10-24,9.512
2005-10-25,9.465
2005-10-26,9.459
2005-10-27,9.37
2005-10-28,9.439
2005-10-31,9.587
2005-11-03,9.695
2005-11-04,9.786
2005-11-07,9.813
2005-11-08,9.825
2005-11-09,9.837
2005-11-10,9.859
2005-11-11,9.92
2005-11-14,9.899
2005-11-15,9.883
2005-11-16,9.889
2005-11-17,9.934
2005-11-18,9.981
2005-11-21,10.0
2005-11-22,10.029
2005-11-23,10.03
2005-11-24,10.026
2005-11-25,10.068
2005-11-28,9.995
2005-11-29,10.01
2005-11-30,9.954
2005-12-01,10.095
2005-12-02,10.142
2005-12-05,10.094
2005-12-06,10.107
2005-12-09,10.065
2005-12-12,10.035
2005-12-13,10.075
2005-12-14,10.048
2005-12-15,10.065
2005-12-16,10.046
2005-12-19,10.032
2005-12-20,10.098
2005-12-21,10.169
2005-12-22,10.167
2005-12-23,10.171
2005-12-27,10.13
2005-12-28,10.116
2005-12-29,10.153
2005-12-30,10.129
2006-01-02,10.127
2006-01-03,10.159
2006-01-04,10.174
2006-01-05,10.177
2006-01-09,10.282
2006-01-10,10.245
2006-01-11,10.273
2006-01-12,10.287
2006-01-13,10.258
2006-01-16,10.232
2006-01-17,10.192
2006-01-18,10.111
2006-01-19,10.17
2006-01-20,10.093
2006-01-23,10.007
2006-01-24,10.023
2006-01-25,10.044
2006-01-26,10.114
2006-01-27,10.246
2006-01-30,10.271
2006-01-31,10.239
2006-02-01,10.282
2006-02-02,10.231
2006-02-03,10.233
2006-02-06,10.26
2006-02-07,10.231
2006-02-08,10.235
2006-02-09,10.266
2006-02-10,10.276
2006-02-13,10.245
2006-02-14,10.312
2006-02-15,10.314
2006-02-16,10.379
2006-02-17,10.349
2006-02-20,10.332
2006-02-21,10.367
2006-02-22,10.419
2006-02-23,10.408
2006-02-24,10.46
2006-02-27,10.506
2006-02-28,10.394
2006-03-01,10.439
2006-03-02,10.385
2006-03-03,10.351
2006-03-06,10.331
2006-03-07,10.352
2006-03-08,10.319
2006-03-09,10.332
2006-03-10,10.393
2006-03-13,10.422
2006-03-14,10.434
2006-03-15,10.454
2006-03-16,10.392
2006-03-17,10.41
2006-03-20,10.418
2006-03-21,10.426
2006-03-22,10.465
2006-03-23,10.495
2006-03-24,10.505
2006-03-27,10.485
2006-03-28,10.416
2006-03-29,10.506
2006-03-30,10.47
2006-03-31,10.449
2006-04-03,10.502
2006-04-04,10.441
2006-04-05,10.47
2006-04-06,10.487
2006-04-07,10.502
2006-04-10,10.486
2006-04-11,10.496
2006-04-12,10.427
2006-04-13,10.418
2006-04-18,10.438
2006-04-19,10.433
2006-04-20,10.461
2006-04-21,10.478
2006-04-24,10.494
2006-04-26,10.446
2006-04-27,10.419
2006-04-28,10.382
2006-05-02,10.336
2006-05-03,10.376
2006-05-04,10.355
2006-05-05,10.338
2006-05-08,10.397
2006-05-09,10.428
2006-05-10,10.417
2006-05-11,10.379
2006-05-12,10.288
2006-05-15,10.144
2006-05-16,10.127
2006-05-17,10.096
2006-05-18,10.004
2006-05-19,9.914
2006-05-22,9.967
2006-05-23,9.968
2006-05-24,9.817
2006-05-25,9.817
2006-05-26,9.84
2006-05-29,10.019
2006-05-30,10.011
2006-05-31,9.819
2006-06-01,9.863
2006-06-05,9.862
2006-06-06,9.957
2006-06-07,9.81
2006-06-08,9.786
2006-06-09,9.75
2006-06-12,9.787
2006-06-13,9.733
2006-06-14,9.595
2006-06-15,9.604
2006-06-16,9.773
2006-06-19,9.766
2006-06-20,9.766
2006-06-21,9.758
2006-06-22,9.776
2006-06-23,9.775
2006-06-26,9.771
2006-06-27,9.845
2006-06-28,9.773
2006-06-29,9.819
2006-06-30,9.973
2006-07-03,9.933
2006-07-04,9.976
2006-07-05,9.992
2006-07-06,9.945
2006-07-07,9.954
2006-07-10,9.896
2006-07-11,9.949
2006-07-12,9.937
2006-07-13,9.903
2006-07-14,9.808
2006-07-17,9.767
2006-07-18,9.785
2006-07-19,9.77
2006-07-20,9.858
2006-07-21,9.819
2006-07-24,9.731
2006-07-25,9.869
2006-07-26,9.929
2006-07-27,9.935
2006-07-28,9.911
2006-07-31,9.983
2006-08-01,9.983
2006-08-02,9.943
2006-08-03,9.967
2006-08-04,9.958
2006-08-08,9.932
2006-08-09,9.9
2006-08-10,9.882
2006-08-11,9.928
2006-08-17,10.058
2006-08-18,10.07
2006-08-21,10.098
2006-08-22,10.031
2006-08-23,10.098
2006-08-24,10.077
2006-08-25,10.077
2006-08-28,10.089
2006-08-29,10.095
2006-08-30,10.138
2006-08-31,10.122
2006-09-01,10.142
2006-09-04,10.181
2006-09-05,10.187
2006-09-06,10.212
2006-09-07,10.127
2006-09-08,10.082
2006-09-11,10.133
2006-09-12,10.069
2006-09-13,10.147
2006-09-14,10.185
2006-09-15,10.156
2006-09-18,10.217
2006-09-19,10.21
2006-09-20,10.18
2006-09-21,10.21
2006-09-22,10.2
2006-09-25,10.11
2006-09-26,10.171
2006-09-27,10.269
2006-09-28,10.308
2006-09-29,10.336
2006-10-02,10.333
2006-10-03,10.29
2006-10-04,10.281
2006-10-05,10.371
2006-10-06,10.43
2006-10-09,10.459
2006-10-10,10.457
2006-10-11,10.517
2006-10-12,10.496
2006-10-13,10.57
2006-10-16,10.621
2006-10-17,10.652
2006-10-18,10.587
2006-10-19,10.633
2006-10-20,10.6
2006-10-23,10.613
2006-10-24,10.687
2006-10-25,10.691
2006-10-26,10.701
2006-10-27,10.696
2006-10-30,10.696
2006-10-31,10.621
2006-11-03,10.54
2006-11-06,10.57
2006-11-07,10.648
2006-11-08,10.641
2006-11-09,10.659
2006-11-10,10.604
2006-11-13,10.583
2006-11-14,10.611
2006-11-15,10.653
2006-11-16,10.684
2006-11-17,10.69
2006-11-20,10.66
2006-11-21,10.642
2006-11-22,10.658
2006-11-23,10.644
2006-11-24,10.635
2006-11-27,10.525
2006-11-28,10.406
2006-11-29,10.393
2006-11-30,10.496
2006-12-01,10.456
2006-12-04,10.388
2006-12-05,10.45
2006-12-06,10.493
2006-12-11,10.508
2006-12-12,10.565
2006-12-13,10.56
2006-12-14,10.597
2006-12-15,10.689
2006-12-18,10.748
2006-12-19,10.734
2006-12-20,10.668
2006-12-21,10.677
2006-12-22,10.667
2006-12-27,10.665
2006-12-28,10.637
2006-12-29,10.729
2007-01-02,10.679
2007-01-03,10.682
2007-01-04,10.709
2007-01-05,10.751
2007-01-08,10.736
2007-01-09,10.737
2007-01-10,10.76
2007-01-11,10.755
2007-01-12,10.853
2007-01-15,10.871
2007-01-16,10.915
2007-01-17,10.896
2007-01-18,10.889
2007-01-19,10.882
2007-01-22,10.919
2007-01-23,10.894
2007-01-24,10.881
2007-01-25,10.978
2007-01-26,10.894
2007-01-29,10.885
2007-01-30,10.87
2007-01-31,10.901
2007-02-01,10.897
2007-02-02,10.955
2007-02-05,10.992
2007-02-06,11.003
2007-02-07,11.018
2007-02-08,11.005
2007-02-09,10.955
2007-02-12,10.969
2007-02-13,10.942
2007-02-14,10.956
2007-02-15,10.983
2007-02-16,10.993
2007-02-19,11.0
2007-02-20,11.001
2007-02-21,11.0
2007-02-22,10.98
2007-02-23,11.003
2007-02-26,10.957
2007-02-27,10.967
2007-02-28,10.649
2007-03-01,10.627
2007-03-02,10.6
2007-03-05,10.527
2007-03-06,10.438
